                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.79986,                0.49152,                0.92313,                0.90373,                0.81135,                 0.8945,                0.71433,                0.75569,                0.45681,                0.90792,               0.000467,               0.000467,               0.000467
                     37,                 0.7738,                0.47414,                0.91636,                0.96141,                0.81778,                0.89797,                0.70921,                0.74578,                0.44371,                0.90674,              0.0004387,              0.0004387,              0.0004387
                     38,                0.77486,                0.47263,                 0.9163,                0.92302,                0.85633,                0.90546,                0.71862,                0.75438,                 0.4445,                0.90768,             0.00041041,             0.00041041,             0.00041041
                     39,                0.77021,                0.47149,                0.91439,                 0.9491,                 0.8616,                0.90973,                0.72236,                0.74198,                0.45163,                0.90251,             0.00038211,             0.00038211,             0.00038211
                     40,                0.77956,                0.47695,                0.92544,                0.97034,                0.82338,                0.89934,                0.72253,                0.71792,                0.42989,                0.89758,             0.00035382,             0.00035382,             0.00035382
                     41,                0.70356,                 0.4273,                0.88754,                0.95625,                0.85228,                0.88235,                0.69797,                0.73394,                0.43519,                0.90276,             0.00032553,             0.00032553,             0.00032553
                     42,                0.69891,                0.45444,                0.89102,                0.92789,                0.83819,                0.89036,                0.72484,                0.70932,                0.42832,                0.89632,             0.00029723,             0.00029723,             0.00029723
                     43,                0.67482,                  0.418,                0.88071,                0.98583,                0.84015,                0.92307,                0.74428,                 0.7005,                0.41615,                0.89157,             0.00026894,             0.00026894,             0.00026894
                     44,                0.66148,                0.40036,                0.87645,                0.93904,                0.89184,                0.92401,                0.75399,                0.69413,                0.41731,                0.89154,             0.00024064,             0.00024064,             0.00024064
                     45,                0.65513,                0.40002,                 0.8718,                0.97167,                0.88652,                0.92042,                  0.755,                0.67467,                0.40478,                0.88595,             0.00021235,             0.00021235,             0.00021235
                     46,                0.64398,                0.39303,                0.87144,                0.98158,                0.87997,                0.93378,                0.76178,                0.65835,                0.39475,                0.88194,             0.00018406,             0.00018406,             0.00018406
                     47,                0.62343,                0.38524,                0.86811,                0.94576,                0.89855,                0.92578,                0.76057,                0.65611,                0.39441,                0.88269,             0.00015576,             0.00015576,             0.00015576
                     48,                0.62428,                0.38893,                0.86619,                 0.9722,                0.86055,                0.92455,                0.76251,                0.65415,                0.39099,                 0.8817,             0.00012747,             0.00012747,             0.00012747
                     49,                 0.6197,                0.38072,                0.86565,                0.97519,                0.88379,                0.93287,                0.77571,                0.64028,                0.38781,                 0.8776,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                0.59545,                0.37068,                0.86036,                0.97384,                0.88544,                 0.9341,                0.78206,                0.64048,                0.38429,                0.87784,             7.0878e-05,             7.0878e-05,             7.0878e-05
